antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.125,0.595,0.1,0.8,1.3445378151260505,1.0,0.02562500000000001,2.025000000000001,0.2928571428571429,0.16129032258064518,0.506172839506173,0.4840336134453782
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Low_Consumption",Air_Severity_Air_Medium,0.09,0.455,0.055,0.6111111111111112,1.3431013431013432,1.0,0.01405,1.4014285714285715,0.2807192807192807,0.11224489795918366,0.28644240570846086,0.365995115995116
"Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Medium",Air_Severity_Air_Medium,0.115,0.455,0.07,0.6086956521739131,1.3377926421404682,1.0,0.017675000000000003,1.3927777777777777,0.28531073446327687,0.14,0.28201037096130843,0.38127090301003347
"Water_Severity_Water_Medium, Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.13,0.345,0.06,0.4615384615384615,1.3377926421404682,1.0,0.015149999999999997,1.2164285714285712,0.2902298850574712,0.14457831325301204,0.17792131532589547,0.3177257525083612
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.125,0.54,0.09,0.72,1.3333333333333333,1.0,0.022499999999999992,1.6428571428571426,0.2857142857142856,0.15652173913043477,0.39130434782608686,0.4433333333333333
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption, Energy_Recovery_Level_Medium_Recovery","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.095,0.395,0.05,0.5263157894736842,1.3324450366422385,1.0,0.012475,1.277222222222222,0.2756906077348066,0.11363636363636365,0.21705089169203995,0.3264490339773484
"Water_Severity_Water_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.12,0.345,0.055,0.45833333333333337,1.3285024154589373,1.0,0.013600000000000008,1.2092307692307693,0.28099173553719026,0.13414634146341464,0.17302798982188305,0.30887681159420294
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Energy_Consumption_Level_Low_Consumption,0.225,0.335,0.1,0.4444444444444445,1.3266998341625207,1.0,0.024624999999999994,1.197,0.31774193548387086,0.21739130434782605,0.16457811194653302,0.3714759535655058
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery",Energy_Consumption_Level_Low_Consumption,0.135,0.335,0.06,0.4444444444444444,1.3266998341625207,1.0,0.01477499999999999,1.197,0.2846820809248553,0.14634146341463414,0.16457811194653293,0.31177446102819234
"Air_Severity_Air_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Low",Energy_Recovery_Level_High_Recovery,0.135,0.335,0.06,0.4444444444444444,1.3266998341625207,1.0,0.01477499999999999,1.197,0.2846820809248553,0.14634146341463414,0.16457811194653293,0.31177446102819234
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Low",Energy_Recovery_Level_High_Recovery,0.135,0.335,0.06,0.4444444444444444,1.3266998341625207,1.0,0.01477499999999999,1.197,0.2846820809248553,0.14634146341463414,0.16457811194653293,0.31177446102819234
"Water_Severity_Water_Medium, Soil_Severity_Soil_Low, Air_Severity_Air_High",Energy_Consumption_Level_Medium_Consumption,0.16,0.33,0.07,0.43750000000000006,1.325757575757576,1.0,0.0172,1.191111111111111,0.2925170068027211,0.16666666666666669,0.16044776119402993,0.3248106060606061
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low, Water_Severity_Water_Medium",Energy_Consumption_Level_Medium_Consumption,0.16,0.33,0.07,0.43750000000000006,1.325757575757576,1.0,0.0172,1.191111111111111,0.2925170068027211,0.16666666666666669,0.16044776119402993,0.3248106060606061
"Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.165,0.48,0.105,0.6363636363636364,1.3257575757575757,1.0,0.02579999999999999,1.43,0.29426860564585106,0.19444444444444442,0.30069930069930073,0.4275568181818182
"Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Medium","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.105,0.54,0.075,0.7142857142857143,1.3227513227513228,1.0,0.018299999999999997,1.6099999999999999,0.2726256983240223,0.13157894736842105,0.37888198757763975,0.42658730158730157
"Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Medium","Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.115,0.395,0.06,0.5217391304347826,1.3208585580627408,1.0,0.01457499999999999,1.265,0.27448210922787175,0.13333333333333333,0.2094861660079051,0.3368189323059989
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Medium_Consumption","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.115,0.395,0.06,0.5217391304347826,1.3208585580627408,1.0,0.01457499999999999,1.265,0.27448210922787175,0.13333333333333333,0.2094861660079051,0.3368189323059989
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",Air_Severity_Air_High,0.265,0.4,0.14,0.5283018867924528,1.320754716981132,1.0,0.034,1.272,0.3304178814382896,0.26666666666666666,0.21383647798742134,0.4391509433962264
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.07,0.595,0.055,0.7857142857142857,1.3205282112845138,1.0,0.01335,1.89,0.2609970674486804,0.09016393442622951,0.4708994708994709,0.43907563025210083
"Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.165,0.345,0.075,0.45454545454545453,1.3175230566534915,1.0,0.018075,1.2008333333333334,0.288622754491018,0.17241379310344826,0.16724496877168635,0.3359683794466403
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",Energy_Recovery_Level_Medium_Recovery,0.115,0.33,0.05,0.43478260869565216,1.3175230566534912,1.0,0.012049999999999998,1.185384615384615,0.2723163841807909,0.12658227848101267,0.15639195327709277,0.29314888010540185
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Medium",Energy_Consumption_Level_Medium_Consumption,0.115,0.33,0.05,0.43478260869565216,1.3175230566534912,1.0,0.012049999999999998,1.185384615384615,0.2723163841807909,0.12658227848101267,0.15639195327709277,0.29314888010540185
"Air_Severity_Air_High, Energy_Consumption_Level_High_Consumption","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.095,0.48,0.06,0.631578947368421,1.3157894736842104,1.0,0.014399999999999996,1.4114285714285713,0.2651933701657458,0.11650485436893206,0.291497975708502,0.3782894736842105
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low",Energy_Recovery_Level_High_Recovery,0.25,0.335,0.11,0.44,1.3134328358208955,1.0,0.026249999999999996,1.1875,0.3181818181818181,0.23157894736842105,0.15789473684210523,0.38417910447761194
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption",Energy_Recovery_Level_Medium_Recovery,0.15,0.33,0.065,0.43333333333333335,1.3131313131313131,1.0,0.0155,1.1823529411764704,0.28054298642533937,0.1566265060240964,0.15422885572139305,0.3151515151515152
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption",Energy_Recovery_Level_Medium_Recovery,0.15,0.33,0.065,0.43333333333333335,1.3131313131313131,1.0,0.0155,1.1823529411764704,0.28054298642533937,0.1566265060240964,0.15422885572139305,0.3151515151515152
"Air_Severity_Air_High, Water_Severity_Water_Low","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",0.16,0.31,0.065,0.40625,1.310483870967742,1.0,0.015400000000000004,1.1621052631578948,0.2820512820512821,0.16049382716049385,0.13949275362318841,0.3079637096774194
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption",Water_Severity_Water_Medium,0.135,0.595,0.105,0.7777777777777777,1.30718954248366,1.0,0.02467499999999999,1.8224999999999993,0.2716763005780346,0.16799999999999998,0.4513031550068585,0.4771241830065359
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.085,0.54,0.06,0.7058823529411764,1.30718954248366,1.0,0.014099999999999994,1.5639999999999996,0.25683060109289607,0.10619469026548674,0.3606138107416878,0.4084967320261438
"Air_Severity_Air_High, Water_Severity_Water_Low",Energy_Recovery_Level_High_Recovery,0.16,0.335,0.07,0.43750000000000006,1.3059701492537314,1.0,0.016400000000000005,1.1822222222222223,0.27891156462585037,0.1647058823529412,0.1541353383458647,0.32322761194029853
"Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Medium",Air_Severity_Air_High,0.115,0.4,0.06,0.5217391304347826,1.3043478260869563,1.0,0.013999999999999992,1.2545454545454544,0.26365348399246685,0.13186813186813187,0.20289855072463764,0.3358695652173913
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.2,0.595,0.155,0.7749999999999999,1.3025210084033612,1.0,0.036000000000000004,1.7999999999999994,0.2903225806451613,0.24218750000000003,0.44444444444444425,0.5177521008403361
Air_Severity_Air_High,"Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.4,0.48,0.25,0.625,1.3020833333333335,1.0,0.057999999999999996,1.3866666666666667,0.38666666666666666,0.3968253968253968,0.27884615384615385,0.5729166666666667
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.08,0.48,0.05,0.625,1.3020833333333335,1.0,0.011600000000000006,1.3866666666666667,0.25217391304347836,0.09803921568627454,0.27884615384615385,0.3645833333333333
"Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium, Energy_Recovery_Level_Medium_Recovery","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.08,0.48,0.05,0.625,1.3020833333333335,1.0,0.011600000000000006,1.3866666666666667,0.25217391304347836,0.09803921568627454,0.27884615384615385,0.3645833333333333
"Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.48,0.4,0.25,0.5208333333333334,1.3020833333333333,1.0,0.057999999999999996,1.2521739130434784,0.4461538461538461,0.3968253968253968,0.20138888888888892,0.5729166666666667
"Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.265,0.595,0.205,0.7735849056603773,1.3001426985888695,1.0,0.04732499999999998,1.7887499999999996,0.31408661025385753,0.3129770992366412,0.44095038434661066,0.5590613603932139
"Overall_Severity_Overall_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Medium",Energy_Recovery_Level_High_Recovery,0.115,0.335,0.05,0.43478260869565216,1.2978585334198571,1.0,0.011474999999999999,1.1765384615384615,0.25932203389830505,0.125,0.1500490356325596,0.29201817001946784
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.1,0.54,0.07,0.7000000000000001,1.2962962962962963,1.0,0.016,1.5333333333333337,0.2539682539682539,0.12280701754385964,0.34782608695652184,0.41481481481481486
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery",Energy_Consumption_Level_Low_Consumption,0.265,0.335,0.115,0.4339622641509434,1.2954097437341594,1.0,0.026225,1.1748333333333334,0.3102632357290742,0.23711340206185563,0.1488154348134487,0.3886229231202478
"Air_Severity_Air_Medium, Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low",Soil_Severity_Soil_Low,0.075,0.67,0.065,0.8666666666666667,1.2935323383084576,1.0,0.01475,2.475,0.24532224532224528,0.09558823529411765,0.595959595959596,0.4818407960199005
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery",Energy_Consumption_Level_High_Consumption,0.15,0.335,0.065,0.43333333333333335,1.2935323383084576,1.0,0.01475,1.173529411764706,0.2669683257918552,0.15476190476190477,0.14786967418546365,0.313681592039801
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low, Energy_Recovery_Level_Medium_Recovery",Water_Severity_Water_Medium,0.065,0.595,0.05,0.7692307692307693,1.292824822236587,1.0,0.011325000000000002,1.7550000000000003,0.24224598930481284,0.08196721311475412,0.43019943019943035,0.42663219133807373
"Energy_Consumption_Level_High_Consumption, Overall_Severity_Overall_Low",Air_Severity_Air_Medium,0.085,0.455,0.05,0.5882352941176471,1.292824822236587,1.0,0.011325000000000002,1.3235714285714284,0.24754098360655738,0.10204081632653061,0.24446842957366438,0.34906270200387846
Energy_Recovery_Level_High_Recovery,Energy_Consumption_Level_Low_Consumption,0.335,0.335,0.145,0.4328358208955223,1.292047226553798,1.0,0.03277499999999997,1.1724999999999999,0.339901477832512,0.27619047619047615,0.14712153518123652,0.4328358208955223
Energy_Consumption_Level_Low_Consumption,Energy_Recovery_Level_High_Recovery,0.335,0.335,0.145,0.4328358208955223,1.292047226553798,1.0,0.03277499999999997,1.1724999999999999,0.339901477832512,0.27619047619047615,0.14712153518123652,0.4328358208955223
"Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Low","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",0.125,0.31,0.05,0.4,1.2903225806451615,1.0,0.011250000000000003,1.15,0.2571428571428572,0.12987012987012989,0.1304347826086957,0.2806451612903226
"Energy_Recovery_Level_Medium_Recovery, Water_Severity_Water_Medium","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.225,0.345,0.1,0.4444444444444445,1.2882447665056362,1.0,0.022375000000000006,1.179,0.2887096774193549,0.21276595744680854,0.15182357930449542,0.36714975845410636
"Air_Severity_Air_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Water_Severity_Water_Low,0.115,0.405,0.06,0.5217391304347826,1.288244766505636,1.0,0.013424999999999992,1.244090909090909,0.252824858757062,0.13043478260869565,0.19620021921812197,0.33494363929146537
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.165,0.4,0.085,0.5151515151515151,1.2878787878787878,1.0,0.019000000000000003,1.2374999999999998,0.26769989432898916,0.17708333333333334,0.19191919191919188,0.3638257575757576
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium",Air_Severity_Air_High,0.175,0.4,0.09,0.5142857142857143,1.2857142857142858,1.0,0.020000000000000004,1.2352941176470589,0.2693602693602694,0.18556701030927836,0.19047619047619055,0.36964285714285716
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Recovery_Level_Low_Recovery",Energy_Consumption_Level_Medium_Consumption,0.13,0.33,0.055,0.4230769230769231,1.282051282051282,1.0,0.0121,1.1613333333333333,0.25287356321839083,0.13580246913580246,0.13892078071182548,0.2948717948717949
"Water_Severity_Water_Medium, Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Low",Energy_Consumption_Level_Medium_Consumption,0.13,0.33,0.055,0.4230769230769231,1.282051282051282,1.0,0.0121,1.1613333333333333,0.25287356321839083,0.13580246913580246,0.13892078071182548,0.2948717948717949
"Energy_Recovery_Level_High_Recovery, Overall_Severity_Overall_Low",Soil_Severity_Soil_Low,0.07,0.67,0.06,0.857142857142857,1.2793176972281446,1.0,0.013099999999999994,2.309999999999997,0.23476702508960565,0.08823529411764706,0.5670995670995665,0.4733475479744136
"Water_Severity_Water_Low, Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Energy_Consumption_Level_High_Consumption,0.14,0.335,0.06,0.4285714285714285,1.2793176972281446,1.0,0.013099999999999994,1.1637499999999998,0.25387596899224796,0.14457831325301204,0.14070891514500522,0.3038379530916844
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption",Water_Severity_Water_Medium,0.125,0.595,0.095,0.76,1.277310924369748,1.0,0.020625000000000004,1.6875000000000002,0.24812030075187974,0.152,0.4074074074074075,0.45983193277310924
"Water_Severity_Water_Low, Overall_Severity_Overall_Low",Air_Severity_Air_Medium,0.155,0.455,0.09,0.5806451612903225,1.2761432116270823,1.0,0.019474999999999992,1.2996153846153842,0.25608152531229444,0.17307692307692307,0.23054158034921562,0.38922367954626014
Soil_Severity_Soil_Medium,"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.33,0.345,0.145,0.43939393939393934,1.2736056214317084,1.0,0.031149999999999997,1.1683783783783783,0.32063818836850233,0.27358490566037735,0.1441128845708998,0.42984189723320154
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",Soil_Severity_Soil_Medium,0.345,0.33,0.145,0.42028985507246375,1.2736056214317082,1.0,0.031149999999999997,1.1557499999999998,0.32798104764411684,0.27358490566037735,0.13476097772009513,0.42984189723320154
"Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.165,0.595,0.125,0.7575757575757576,1.2732365673542145,1.0,0.026825,1.670625,0.25700598802395214,0.19685039370078738,0.40142162364384587,0.4838298955946015
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.08,0.54,0.055,0.6875,1.2731481481481481,1.0,0.011799999999999998,1.472,0.23320158102766794,0.09734513274336284,0.3206521739130434,0.39467592592592593
"Soil_Severity_Soil_Low, Overall_Severity_Overall_Low",Air_Severity_Air_Medium,0.19,0.455,0.11,0.5789473684210527,1.2724117987275883,1.0,0.02355,1.2943749999999998,0.2643097643097643,0.205607476635514,0.22742636407532596,0.4103528050896472
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",Energy_Recovery_Level_High_Recovery,0.27,0.335,0.115,0.42592592592592593,1.271420674405749,1.0,0.02454999999999999,1.1583870967741936,0.29243597379392483,0.23469387755102042,0.13673071567808406,0.3846047540077391
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Water_Severity_Water_Low",Soil_Severity_Soil_Medium,0.155,0.33,0.065,0.41935483870967744,1.270772238514174,1.0,0.013850000000000001,1.153888888888889,0.2521620391442877,0.15476190476190477,0.1333654309099663,0.3081622678396872
"Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Energy_Consumption_Level_Medium_Consumption,0.155,0.33,0.065,0.41935483870967744,1.270772238514174,1.0,0.013850000000000001,1.153888888888889,0.2521620391442877,0.15476190476190477,0.1333654309099663,0.3081622678396872
"Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.205,0.48,0.125,0.6097560975609756,1.2703252032520325,1.0,0.026600000000000013,1.3325,0.26767295597484286,0.22321428571428573,0.24953095684803,0.4350863821138211
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low",Air_Severity_Air_Medium,0.13,0.455,0.075,0.5769230769230769,1.2679628064243447,1.0,0.015849999999999996,1.2881818181818179,0.24291187739463593,0.14705882352941177,0.2237120677487649,0.37087912087912084
"Air_Severity_Air_High, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.24,0.79,0.24,1.0,1.2658227848101264,1.0,0.0504,inf,0.2763157894736842,0.30379746835443033,1.0,0.6518987341772151
"Air_Severity_Air_High, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.145,0.79,0.145,1.0,1.2658227848101264,1.0,0.03044999999999999,inf,0.24561403508771926,0.18354430379746833,1.0,0.5917721518987342
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery",Overall_Severity_Overall_Medium,0.14,0.79,0.14,1.0,1.2658227848101264,1.0,0.029399999999999996,inf,0.24418604651162787,0.17721518987341772,1.0,0.5886075949367089
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery",Overall_Severity_Overall_Medium,0.125,0.79,0.125,1.0,1.2658227848101264,1.0,0.026249999999999996,inf,0.23999999999999996,0.1582278481012658,1.0,0.5791139240506329
"Air_Severity_Air_High, Energy_Consumption_Level_High_Consumption",Overall_Severity_Overall_Medium,0.095,0.79,0.095,1.0,1.2658227848101264,1.0,0.019949999999999996,inf,0.23204419889502756,0.12025316455696203,1.0,0.560126582278481
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption",Overall_Severity_Overall_Medium,0.15,0.79,0.15,1.0,1.2658227848101264,1.0,0.0315,inf,0.24705882352941178,0.18987341772151897,1.0,0.5949367088607594
"Air_Severity_Air_Medium, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.145,0.79,0.145,1.0,1.2658227848101264,1.0,0.03044999999999999,inf,0.24561403508771926,0.18354430379746833,1.0,0.5917721518987342
"Air_Severity_Air_High, Water_Severity_Water_Low, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.065,0.79,0.065,1.0,1.2658227848101264,1.0,0.013649999999999995,inf,0.22459893048128335,0.08227848101265822,1.0,0.5411392405063291
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Low",Overall_Severity_Overall_Medium,0.07,0.79,0.07,1.0,1.2658227848101264,1.0,0.014699999999999998,inf,0.22580645161290316,0.08860759493670886,1.0,0.5443037974683544
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Low",Overall_Severity_Overall_Medium,0.06,0.79,0.06,1.0,1.2658227848101264,1.0,0.0126,inf,0.22340425531914898,0.07594936708860758,1.0,0.5379746835443038
"Water_Severity_Water_Medium, Soil_Severity_Soil_Low, Air_Severity_Air_High",Overall_Severity_Overall_Medium,0.16,0.79,0.16,1.0,1.2658227848101264,1.0,0.03359999999999999,inf,0.24999999999999994,0.20253164556962025,1.0,0.6012658227848101
"Air_Severity_Air_High, Water_Severity_Water_Medium, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.08,0.79,0.08,1.0,1.2658227848101264,1.0,0.016799999999999995,inf,0.22826086956521732,0.10126582278481013,1.0,0.5506329113924051
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.07,0.79,0.07,1.0,1.2658227848101264,1.0,0.014699999999999998,inf,0.22580645161290316,0.08860759493670886,1.0,0.5443037974683544
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.08,0.79,0.08,1.0,1.2658227848101264,1.0,0.016799999999999995,inf,0.22826086956521732,0.10126582278481013,1.0,0.5506329113924051
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.09,0.79,0.09,1.0,1.2658227848101264,1.0,0.0189,inf,0.23076923076923078,0.11392405063291139,1.0,0.5569620253164557
"Air_Severity_Air_High, Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.06,0.79,0.06,1.0,1.2658227848101264,1.0,0.0126,inf,0.22340425531914898,0.07594936708860758,1.0,0.5379746835443038
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.09,0.79,0.09,1.0,1.2658227848101264,1.0,0.0189,inf,0.23076923076923078,0.11392405063291139,1.0,0.5569620253164557
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.09,0.79,0.09,1.0,1.2658227848101264,1.0,0.0189,inf,0.23076923076923078,0.11392405063291139,1.0,0.5569620253164557
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.085,0.79,0.085,1.0,1.2658227848101264,1.0,0.017850000000000005,inf,0.2295081967213115,0.10759493670886076,1.0,0.5537974683544303
"Air_Severity_Air_High, Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.085,0.79,0.085,1.0,1.2658227848101264,1.0,0.017850000000000005,inf,0.2295081967213115,0.10759493670886076,1.0,0.5537974683544303
"Air_Severity_Air_High, Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.06,0.79,0.06,1.0,1.2658227848101264,1.0,0.0126,inf,0.22340425531914898,0.07594936708860758,1.0,0.5379746835443038
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.1,0.79,0.1,1.0,1.2658227848101264,1.0,0.02099999999999999,inf,0.2333333333333332,0.12658227848101267,1.0,0.5632911392405063
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.055,0.79,0.055,1.0,1.2658227848101264,1.0,0.011549999999999998,inf,0.22222222222222218,0.06962025316455696,1.0,0.5348101265822784
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.05,0.79,0.05,1.0,1.2658227848101264,1.0,0.010499999999999995,inf,0.22105263157894728,0.06329113924050633,1.0,0.5316455696202531
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.06,0.79,0.06,1.0,1.2658227848101264,1.0,0.0126,inf,0.22340425531914898,0.07594936708860758,1.0,0.5379746835443038
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.05,0.79,0.05,1.0,1.2658227848101264,1.0,0.010499999999999995,inf,0.22105263157894728,0.06329113924050633,1.0,0.5316455696202531
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Energy_Consumption_Level_Low_Consumption",Overall_Severity_Overall_Medium,0.08,0.79,0.08,1.0,1.2658227848101264,1.0,0.016799999999999995,inf,0.22826086956521732,0.10126582278481013,1.0,0.5506329113924051
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Energy_Recovery_Level_Low_Recovery",Overall_Severity_Overall_Medium,0.055,0.79,0.055,1.0,1.2658227848101264,1.0,0.011549999999999998,inf,0.22222222222222218,0.06962025316455696,1.0,0.5348101265822784
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Energy_Recovery_Level_Medium_Recovery",Overall_Severity_Overall_Medium,0.065,0.79,0.065,1.0,1.2658227848101264,1.0,0.013649999999999995,inf,0.22459893048128335,0.08227848101265822,1.0,0.5411392405063291
"Air_Severity_Air_Medium, Water_Severity_Water_Low, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.05,0.79,0.05,1.0,1.2658227848101264,1.0,0.010499999999999995,inf,0.22105263157894728,0.06329113924050633,1.0,0.5316455696202531
"Air_Severity_Air_Medium, Water_Severity_Water_Medium, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.095,0.79,0.095,1.0,1.2658227848101264,1.0,0.019949999999999996,inf,0.23204419889502756,0.12025316455696203,1.0,0.560126582278481
